Country,Ranking,GDP
United States,1,16768100
China,2,9240270
Japan,3,4919563
Germany,4,3730261
France,5,2806428
United Kingdom,6,2678455
Brazil,7,2245673
Italy,8,2149485
Russian Federation,9,2096777
India,10,1876797
Canada,11,1826769
Australia,12,1560372
Spain,13,1393040
"Korea, Rep.",14,1304554
Mexico,15,1260915
Indonesia,16,868346
Netherlands,17,853539
Turkey,18,822135
Saudi Arabia,19,748450
Switzerland,20,685434
