Country,Country ,Currency,ExchangeperDollar
Peru ,PERU,NUEVO SOL,2.9
Philippines ,PHILIPPINES,PESO,44.775
Poland ,POLAND,ZLOTY,3.513
Portugal ,PORTUGAL,EURO,0.822
Qatar ,QATAR,RIYAL,3.642
Romania ,ROMANIA,LEU,3.685
Russia ,RUSSIA,RUBLE,58.676
Rwanda ,RWANDA,FRANC,689.19
Sao Tome & Principe ,SAO TOME and PRINCIPE,DOBRAS,20087.711
Saudi Arabia ,SAUDI ARABIA,RIYAL,3.75
Senegal ,SENEGAL,CFA FRANC,538.7
Serbia ,SERBIA,DINAR,99.46
Seychelles ,SEYCHELLES,RUPEE,12.98
Sierra Leone ,SIERRA LEONE,LEONE,4990
Singapore ,SINGAPORE,DOLLAR,1.321
Slovakia ,SLOVAK REPUBLIC,EURO,0.822
Slovenia ,SLOVENIA,EURO,0.822
Solomon Islands ,SOLOMON ISLANDS,DOLLAR,7.31
South Africa ,SOUTH AFRICA,RAND,11.566
Spain ,SPAIN,EURO,0.822
Sri Lanka ,SRI LANKA,RUPEE,131.15
Sudan ,SUDAN,SUDANESE POUND,6.4
Suriname ,SURINAME,GUILDER,3.35
Swaziland ,SWAZILAND,LILANGENI,11.566
Sweden ,SWEDEN,KRONA,7.713
Switzerland ,SWITZERLAND,FRANC,0.989
Syria ,SYRIA,POUND,179.2
Taiwan ,TAIWAN,DOLLAR,31.64
Tajikistan ,TAJIKISTAN,SOMONI,5.3
Tanzania ,TANZANIA,SHILLING,1730
Thailand ,THAILAND,BAHT,32.92
Togo ,TOGO,CFA FRANC,538.7
Tonga ,TONGA,PA ANGA,1.87
Trinidad & Tobago ,TRINIDAD & TOBAGO,DOLLAR,6.356
Tunisia ,TUNISIA,DINAR,1.859
Turkey ,TURKEY,LIRA,2.327
Turkmenistan ,TURKMENISTAN,MANAT,2.84
Uganda ,UGANDA,SHILLING,2770
Ukraine ,UKRAINE,HRVNIA,15.768
United Arab Emirates ,UNITED ARAB EMIRATES,DIRHAM,3.67
United Kingdom ,UNITED KINGDOM,POUND STERLING,0.642
United States ,United States,Dollar,
Uruguay ,URUGUAY,PESO,23.96
Uzbekistan ,UZBEKISTAN,SOM,2461
Vanuatu ,VANUATU,VATU,99.93
Venezuela ,VENEZUELA,BOLIVAR,6.3
Vietnam ,VIETNAM,DONG,21400
Yemen ,YEMEN,RIAL,214.5
Zambia ,ZAMBIA,KWACHA (NEW),6.375
Zimbabwe ,ZIMBABWE,DOLLAR,1
